"aq",,,,
"Czas","Si³a","Przemieszczenie","Naprê¿.","Rozstaw"
"sec","N","mm","N/mm2","mm"
"1802,26","-0,02415975","-4,768126","-0,0001367162","8,081625"
"1802,27","-0,02479553","-4,76725","-0,000140314","8,08075"
"1802,28","-0,02543131","-4,7665","-0,0001439118","8,08"
"1802,29","-0,0260671","-4,765751","-0,0001475096","8,07925"
"1802,3","-0,0260671","-4,765125","-0,0001475096","8,078625"
"1802,31","-0,02598763","-4,764376","-0,0001470599","8,077875"
"1802,32","-0,02598763","-4,76375","-0,0001470599","8,07725"
"1802,33","-0,02638499","-4,763126","-0,0001493085","8,076626"
"1802,34","-0,02662341","-4,762001","-0,0001506577","8,0755"
"1802,35","-0,02670288","-4,7605","-0,0001511074","8,073999"
"1802,36","-0,02670288","-4,759626","-0,0001511074","8,073126"
"1802,37","-0,02662341","-4,758751","-0,0001506577","8,07225"
"1802,38","-0,02686183","-4,757875","-0,0001520068","8,071375"
"1802,39","-0,02741814","-4,757","-0,0001551549","8,070499"
"1802,4","-0,02749761","-4,756376","-0,0001556046","8,069876"
"1802,41","-0,02710024","-4,755751","-0,000153356","8,06925"
"1802,42","-0,02686183","-4,755125","-0,0001520068","8,068624"
"1802,43","-0,02702077","-4,754375","-0,0001529063","8,067875"
"1802,44","-0,02725919","-4,753626","-0,0001542555","8,067125"
"1802,45","-0,02741814","-4,753","-0,0001551549","8,0665"
"1802,46","-0,02741814","-4,751625","-0,0001551549","8,065125"
"1802,47","-0,02710024","-4,750626","-0,000153356","8,064125"
"1802,48","-0,02670288","-4,749876","-0,0001511074","8,063375"
"1802,49","-0,02638499","-4,748877","-0,0001493085","8,062376"
"1802,5","-0,02662341","-4,748125","-0,0001506577","8,061625"
"1802,51","-0,02702077","-4,747252","-0,0001529063","8,060751"
"1802,52","-0,02702077","-4,7465","-0,0001529063","8,059999"
"1802,53","-0,02686183","-4,74575","-0,0001520068","8,05925"
"1802,54","-0,02686183","-4,745127","-0,0001520068","8,058626"
"1802,55","-0,02670288","-4,744501","-0,0001511074","8,058001"
"1802,56","-0,02686183","-4,743876","-0,0001520068","8,057375"
"1802,57","-0,02702077","-4,743376","-0,0001529063","8,056875"
"1802,58","-0,02670288","-4,742376","-0,0001511074","8,055876"
"1802,59","-0,02622604","-4,741001","-0,000148409","8,054501"
"1802,6","-0,02622604","-4,739876","-0,000148409","8,053375"
"1802,61","-0,02686183","-4,739","-0,0001520068","8,0525"
"1802,62","-0,02725919","-4,738001","-0,0001542555","8,0515"
"1802,63","-0,02725919","-4,737375","-0,0001542555","8,050875"
"1802,64","-0,02765656","-4,736502","-0,0001565041","8,050001"
"1802,65","-0,02813339","-4,73575","-0,0001592024","8,04925"
"1802,66","-0,02805392","-4,735126","-0,0001587527","8,048626"
"1802,67","-0,02710024","-4,734501","-0,000153356","8,048"
"1802,68","-0,02662341","-4,733875","-0,0001506577","8,047375"
"1802,69","-0,02670288","-4,733252","-0,0001511074","8,046751"
"1802,7","-0,02710024","-4,732126","-0,000153356","8,045626"
"1802,71","-0,02702077","-4,730625","-0,0001529063","8,044125"
"1802,72","-0,02662341","-4,729752","-0,0001506577","8,043251"
"1802,73","-0,02582868","-4,728876","-0,0001461604","8,042376"
"1802,74","-0,02503395","-4,728001","-0,0001416632","8,0415"
"1802,75","-0,02503395","-4,727251","-0,0001416632","8,040751"
"1802,76","-0,02582868","-4,726501","-0,0001461604","8,040001"
"1802,77","-0,02662341","-4,72575","-0,0001506577","8,039249"
"1802,78","-0,02686183","-4,725126","-0,0001520068","8,038626"
"1802,79","-0,02638499","-4,724377","-0,0001493085","8,037876"
"1802,8","-0,02582868","-4,723751","-0,0001461604","8,037251"
"1802,81","-0,02598763","-4,723251","-0,0001470599","8,036751"
"1802,82","-0,02638499","-4,722","-0,0001493085","8,0355"
"1802,83","-0,02670288","-4,720501","-0,0001511074","8,034"
"1802,84","-0,02686183","-4,719625","-0,0001520068","8,033125"
"1802,85","-0,02702077","-4,71875","-0,0001529063","8,032249"
"1802,86","-0,02710024","-4,717876","-0,000153356","8,031376"
"1802,87","-0,0278155","-4,717001","-0,0001574035","8,0305"
"1802,88","-0,02813339","-4,716251","-0,0001592024","8,029751"
"1802,89","-0,02813339","-4,715752","-0,0001592024","8,029251"
"1802,9","-0,0278155","-4,715126","-0,0001574035","8,028625"
"1802,91","-0,02749761","-4,714376","-0,0001556046","8,027876"
"1802,92","-0,02710024","-4,713751","-0,000153356","8,02725"
"1802,93","-0,02646446","-4,713125","-0,0001497582","8,026625"
"1802,94","-0,02598763","-4,711876","-0,0001470599","8,025375"
"1802,95","-0,0260671","-4,710627","-0,0001475096","8,024126"
"1802,96","-0,02662341","-4,709875","-0,0001506577","8,023375"
"1802,97","-0,02670288","-4,708876","-0,0001511074","8,022375"
"1802,98","-0,02638499","-4,708","-0,0001493085","8,0215"
"1802,99","-0,02598763","-4,707251","-0,0001470599","8,02075"
"1803","-0,02622604","-4,706501","-0,000148409","8,02"
"1803,01","-0,02710024","-4,705751","-0,000153356","8,019251"
"1803,02","-0,02805392","-4,705126","-0,0001587527","8,018625"
"1803,03","-0,0286897","-4,7045","-0,0001623505","8,018"
"1803,04","-0,02845128","-4,703876","-0,0001610013","8,017376"
"1803,05","-0,02765656","-4,703377","-0,0001565041","8,016876"
"1803,06","-0,02686183","-4,702375","-0,0001520068","8,015875"
"1803,07","-0,02622604","-4,701","-0,000148409","8,0145"
"1803,08","-0,02582868","-4,699751","-0,0001461604","8,01325"
"1803,09","-0,02543131","-4,699001","-0,0001439118","8,012501"
"1803,1","-0,02543131","-4,698126","-0,0001439118","8,011625"
"1803,11","-0,0260671","-4,69725","-0,0001475096","8,01075"
"1803,12","-0,02702077","-4,696501","-0,0001529063","8,01"
"1803,13","-0,02749761","-4,695751","-0,0001556046","8,009251"
"1803,14","-0,02765656","-4,695126","-0,0001565041","8,008625"
"1803,15","-0,02725919","-4,6945","-0,0001542555","8,007999"
"1803,16","-0,02702077","-4,693876","-0,0001529063","8,007376"
"1803,17","-0,02741814","-4,693251","-0,0001551549","8,00675"
"1803,18","-0,02813339","-4,692125","-0,0001592024","8,005625"
"1803,19","-0,02845128","-4,690626","-0,0001610013","8,004126"
"1803,2","-0,0278155","-4,689751","-0,0001574035","8,00325"
"1803,21","-0,02710024","-4,689001","-0,000153356","8,002501"
"1803,22","-0,02725919","-4,688126","-0,0001542555","8,001625"
"1803,23","-0,02805392","-4,68725","-0,0001587527","8,00075"
"1803,24","-0,02813339","-4,686501","-0,0001592024","8"
"1803,25","-0,02749761","-4,685751","-0,0001556046","7,99925"
"1803,26","-0,02686183","-4,685125","-0,0001520068","7,998625"
"1803,27","-0,02670288","-4,684502","-0,0001511074","7,998001"
